date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.999999998686002,1.0000000012275956,46303774477
2024-12-25,1.0,0.999999998495331,1.0000000016307211,46303774477
2024-12-26,1.0,0.9999999983472925,1.00000000207045,46303774477
2024-12-27,1.0,0.9999999977490756,1.0000000029463951,46303774477
2024-12-28,1.0,0.9999999965424801,1.0000000044840218,46303774477
2024-12-29,1.0,0.9999999950483961,1.0000000065787569,46303774477
2024-12-30,1.0,0.9999999928809458,1.0000000082620293,46303774477
2024-12-31,1.0,0.9999999918583975,1.0000000106751525,46303774477
2025-01-01,1.0,0.9999999887798758,1.0000000134056175,46303774477
2025-01-02,1.0,0.9999999864932585,1.0000000156693987,46303774477
2025-01-03,1.0,0.9999999839632138,1.000000018115971,46303774477
2025-01-04,1.0,0.9999999810772544,1.0000000212847624,46303774477
2025-01-05,1.0,0.9999999785932493,1.0000000240656002,46303774477
2025-01-06,1.0,0.999999975362603,1.0000000266670086,46303774477
2025-01-07,1.0,0.9999999718972915,1.0000000307723331,46303774477
2025-01-08,1.0,0.9999999683833832,1.000000034655619,46303774477
2025-01-09,1.0,0.9999999656745128,1.000000038304013,46303774477
2025-01-10,1.0,0.9999999629402719,1.0000000419243718,46303774477
2025-01-11,1.0,0.9999999583709612,1.0000000458727343,46303774477
2025-01-12,1.0,0.9999999547221112,1.0000000493849568,46303774477
2025-01-13,1.0,0.9999999522907584,1.000000053300431,46303774477
2025-01-14,1.0,0.9999999486331046,1.0000000573136432,46303774477
2025-01-15,1.0,0.9999999442440314,1.000000062145512,46303774477
2025-01-16,1.0,0.9999999421037151,1.0000000661876816,46303774477
2025-01-17,1.0,0.9999999374902138,1.0000000720347895,46303774477
2025-01-18,1.0,0.9999999336075951,1.0000000764492845,46303774477
2025-01-19,1.0,0.999999929930485,1.0000000811855747,46303774477
2025-01-20,1.0,0.9999999261282515,1.0000000855045112,46303774477
2025-03-04,1.9999996656589083,1.9999996656575112,1.9999996656603802,46303862950
2025-03-05,1.9999996656589087,1.9999996656573484,1.999999665660383,46303862950
2025-03-06,1.9999996656589092,1.9999996656572692,1.99999966566062,46303862950
2025-03-07,1.9999996656589092,1.9999996656570784,1.9999996656610595,46303862950
2025-03-08,1.9999996656589096,1.9999996656568475,1.9999996656611052,46303862950
2025-03-09,1.99999966565891,1.9999996656564325,2.000007295988759,46303862950
2025-03-10,1.99999966565891,1.9999864336164008,2.000044267381845,46303862950
2025-03-11,1.9999996656589105,1.9999431657189937,2.0000878797684662,46303862950
2025-03-12,1.9999996656589105,1.9998644264792642,2.00015842485026,46303862950
2025-03-13,1.999999665658911,1.999829896450114,2.0002079362766834,46303862950
2025-03-14,1.9999996656589114,1.9997710659445078,2.000295430895695,46303862950
2025-03-15,1.9999996656589114,1.9997154252617353,2.0003612479791117,46303862950
2025-03-16,1.9999996656589119,1.999668846603215,2.0004453531104924,46303862950
2025-03-17,1.9999996656589123,1.9995533681373896,2.0005401802827474,46303862950
2025-03-18,1.9999996656589123,1.9994566488810914,2.000662459222818,46303862950
2025-03-19,1.9999996656589127,1.9993533467292939,2.0007738902435954,46303862950
2025-03-20,1.9999996656589132,1.9992218519932088,2.000863634246692,46303862950
2025-03-21,1.9999996656589132,1.9991221040428158,2.0009490458033516,46303862950
2025-03-22,1.9999996656589136,1.9990056928901718,2.0010380576563893,46303862950
2025-03-23,1.9999996656589136,1.9988832138305201,2.001121537236309,46303862950
2025-03-24,1.999999665658914,1.9988029917689198,2.0012926126153214,46303862950
2025-03-25,1.9999996656589145,1.9986996850921102,2.0013903630617507,46303862950
2025-03-26,1.9999996656589145,1.9985729763135274,2.0014720152201546,46303862950
2025-03-27,1.999999665658915,1.9984151080085835,2.0015847672554266,46303862950
2025-03-28,1.9999996656589154,1.9981682893134782,2.00174425852159,46303862950
2025-03-29,1.9999996656589154,1.9979583243370327,2.0018580352399966,46303862950
2025-03-30,1.9999996656589158,1.9977741349006464,2.0020172922683943,46303862950
2025-03-31,1.9999996656589163,1.9976270989116611,2.002169758542621,46303862950
2025-03-04,5.434594712288739,1.3477125680492121,9.414158755031155,46303877432
2025-03-05,4.865590756422694,0.9151193500051376,9.0434087234656,46303877432
2025-03-06,4.296586800556636,0.3021141657949264,8.236874741310933,46303877432
2025-03-07,3.727582844690591,-0.40624677531739123,7.747804896476976,46303877432
2025-03-08,3.1585788888245467,-1.1391130545571455,7.168553478564398,46303877432
2025-03-09,2.5895749329585023,-1.6297774845954036,6.521961484605302,46303877432
2025-03-10,2.020570977092458,-1.910918034303999,6.059899358091809,46303877432
2025-03-11,1.4515670212264133,-2.804912801975761,5.954623056946892,46303877432
2025-03-12,0.8825630653603618,-3.366742234696907,5.177655433323261,46303877432
2025-03-13,0.3135591094943173,-3.699700569663599,4.4900910842119615,46303877432
2025-03-14,-0.25544484637172715,-3.7701314972525553,3.8905553140857365,46303877432
2025-03-15,-0.8244488022377716,-4.900505997754027,3.213133960797344,46303877432
2025-03-16,-1.393452758103816,-5.623029246824418,2.814459080364342,46303877432
2025-03-17,-1.9624567139698605,-5.922539337640595,2.1632599851902667,46303877432
2025-03-18,-2.531460669835919,-6.632096220746786,1.6584137793235685,46303877432
2025-03-19,-3.1004646257019637,-7.238347337855471,1.0865985094196293,46303877432
2025-03-20,-3.669468581568008,-7.681303918957933,0.5998168579825782,46303877432
2025-03-21,-4.238472537434053,-8.50379186626668,-0.2963164555857113,46303877432
2025-03-22,-4.807476493300097,-8.868633489601386,-0.7936713762129048,46303877432
