ds,yhat,sku_id,qty_total,revenue,price,forecasted_revenue,abs_error,pct_error,weighted_error
2025-02-10,0.7675754650621142,41605550723,0,0.0,0.0,0.0,0.7675754650621142,,0.0
2025-02-17,0.8614216977682068,41605550723,5,0.0,0.0,0.0,4.138578302231793,0.8277156604463587,0.0
2025-02-24,0.99382222153591,41605550723,0,0.0,0.0,0.0,0.99382222153591,,0.0
2025-02-03,3.544208044701948,4166277217,4,0.0,0.0,0.0,0.45579195529805183,0.11394798882451296,0.0
2025-02-10,3.9183517972902733,4166277217,5,0.0,0.0,0.0,1.0816482027097267,0.21632964054194534,0.0
2025-02-17,4.174894096936532,4166277217,2,0.0,0.0,0.0,2.174894096936532,1.087447048468266,0.0
2025-02-24,4.136615595105083,4166277217,3,0.0,0.0,0.0,1.1366155951050834,0.3788718650350278,0.0
2025-02-03,1.3793314886192758,41662780238,5,0.0,0.0,0.0,3.620668511380724,0.7241337022761448,0.0
2025-02-10,1.851159383600073,41662780238,3,0.0,0.0,0.0,1.148840616399927,0.38294687213330897,0.0
2025-02-17,2.1665618359364034,41662780238,0,0.0,0.0,0.0,2.1665618359364034,,0.0
2025-02-24,2.056972486605644,41662780238,3,0.0,0.0,0.0,0.9430275133943562,0.3143425044647854,0.0
2025-02-03,19.211507433918527,41662784784,11,0.0,0.0,0.0,8.211507433918527,0.7465006758107752,0.0
2025-02-10,20.161845143397958,41662784784,23,0.0,0.0,0.0,2.838154856602042,0.12339803724356704,0.0
2025-02-17,20.920577899211317,41662784784,16,0.0,0.0,0.0,4.920577899211317,0.3075361187007073,0.0
2025-02-24,21.670036918156683,41662784784,36,0.0,0.0,0.0,14.329963081843317,0.3980545300512033,0.0
2025-02-03,5.026326610975943,41662829751,7,0.0,0.0,0.0,1.9736733890240572,0.281953341289151,0.0
2025-02-10,6.07166700045482,41662829751,3,0.0,0.0,0.0,3.07166700045482,1.0238890001516066,0.0
2025-02-17,6.95687550952496,41662829751,4,0.0,0.0,0.0,2.95687550952496,0.73921887738124,0.0
2025-02-24,7.31904988389007,41662829751,3,0.0,0.0,0.0,4.31904988389007,1.4396832946300233,0.0
2025-02-03,0.05380467782834841,43675356591,0,0.0,0.0,0.0,0.05380467782834841,,0.0
2025-02-10,0.11106027664981535,43675356591,0,0.0,0.0,0.0,0.11106027664981535,,0.0
2025-02-17,0.14103434427662204,43675356591,0,0.0,0.0,0.0,0.14103434427662204,,0.0
2025-02-24,0.12591497989105518,43675356591,0,0.0,0.0,0.0,0.12591497989105518,,0.0
2025-02-03,0.04347134063021392,43675357153,0,0.0,0.0,0.0,0.04347134063021392,,0.0
2025-02-10,0.04724887206621012,43675357153,0,0.0,0.0,0.0,0.04724887206621012,,0.0
2025-02-17,0.031034454672717447,43675357153,0,0.0,0.0,0.0,0.031034454672717447,,0.0
2025-02-24,0.018948927644003046,43675357153,0,0.0,0.0,0.0,0.018948927644003046,,0.0
2025-02-03,1.707439364418652,43675357762,1,0.0,0.0,0.0,0.7074393644186521,0.7074393644186521,0.0
2025-02-10,1.8380290724354345,43675357762,0,0.0,0.0,0.0,1.8380290724354345,,0.0
2025-02-17,1.9939537326082202,43675357762,4,0.0,0.0,0.0,2.00604626739178,0.501511566847945,0.0
2025-02-24,2.0285600276876377,43675357762,1,1548.0,1548.0,3140.210922860463,1.0285600276876377,1.0285600276876377,1592.2109228604631
2025-02-03,0.8066765295318578,43675358311,0,0.0,0.0,0.0,0.8066765295318578,,0.0
2025-02-10,0.9920628268394969,43675358311,3,0.0,0.0,0.0,2.007937173160503,0.6693123910535009,0.0
